claim_id,study_id,doi,claim,role,direction,status,note,result_position,source_result_id,article_result_from_phase1,ali_test_name,ali_reported_result,ali_reproduced_result,ali_result_status,project_verified_result,project_result_status,frequentist_test,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,extraction_note,source_file,source_row_id,source_study_id,p_value_original
study_03_claim_01,study_03,10.1037/stl0000432,"No significant differences existed in most student perceptions of instructor and course, but students who viewed the syllabus snapshot saw the instructor as less difficult, also indicating they would be more likely to take the course and recommend it to others.",primary,unclear,pending,"Wave 3 (MANOVA). Verified against Ali's Phase 2: reported key F(3,164)=2.14 matches result_01 exactly. Needs a raw-data Bayesian MANOVA/multivariate model.",key,study_03_result_01,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",2 × 2 between-subjects MANOVA,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.","F (3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",Fully reproducible,"F(3, 164) = 2.14, p = .10, Wilks' lambda = .96, eta_p2 = .04",recomputed_from_raw_data_type_III_manova,manova,0.09731048243233506,=,omnibus,NA,NA,2.1389606390053655,3,164,NA,NA,NA,NA,NA,NA,170,170,eta_p2_from_wilks,0.03765402725852462,0.9623459727414754,NA,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors",Whether the effect of syllabus snapshot presence differs depending on instructor snapshot presence across the three perception outcomes.,"Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",study_03_recomputed.csv,1,study_03,0.09731048243233506
study_03_claim_02,study_03,10.1037/stl0000432,"No significant differences existed in most student perceptions of instructor and course, but students who viewed the syllabus snapshot saw the instructor as less difficult, also indicating they would be more likely to take the course and recommend it to others.",supplementary,unclear,pending,"Verified: reported second F(3,164)=0.78 matches result_02 exactly. Same raw-data model requirement as claim_01.",second,study_03_result_02,"F(3, 164) = 2.14, p = .10, Wilks’ λ= .96, ηp²= .04.",2 × 2 between-subjects MANOVA,"F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01","F(3, 164) = 0.78, p = .51, Wilks’ λ = .99, ηp²= .01",Fully reproducible,"F(3, 164) = 0.78, p = .51, Wilks' lambda = .99, eta_p2 = .01",recomputed_from_raw_data_type_III_manova,manova,0.5076886452135867,=,omnibus,NA,NA,0.7782452647851081,3,164,NA,NA,NA,NA,NA,NA,170,170,eta_p2_from_wilks,0.01403636939215047,0.9859636306078496,NA,Snapshot_MASTER_noID_cleaned_03.11.24.sav,TBC_COMP; TBC_CARE; percept; snap_syll; snap_inst,"cbind(TBC_COMP, TBC_CARE, percept) ~ snap_syll * snap_inst, Type-III MANOVA with effect-coded factors","Main effect of syllabus snapshot presence across teacher competence, teacher care, and general course/instructor perceptions.","Complete-case N = 170. Cell counts: snap_syll=0, snap_inst=0, n=35; snap_syll=0, snap_inst=1, n=44; snap_syll=1, snap_inst=0, n=46; snap_syll=1, snap_inst=1, n=45. The estimate column stores Wilks' lambda; eta_p2_from_wilks is 1 - Wilks' lambda.",study_03_recomputed.csv,2,study_03,0.5076886452135867
study_05_claim_01,study_05,10.1037/stl0000136,"In a retest of items from their first midterm, students showed high performance (70% correct) compared to previous studies, with psychology students (majors and minors) showing better performance than nonpsychology students (81% vs. 69%), d  .74.",primary,two_sided,ready,"Verified: reported key t=3.26 matches result_01 exactly. Checked Phase 1 hypothesis column: the article's a priori prediction concerns forgetting-over-time (retest vs original), not the psych-vs-nonpsych comparison actually tested here, so no legitimate pre-specified direction applies -- keep two_sided.",key,study_05_result_01,"t(154) = 3.26, p < .001, d = 0.74",Independent samples t-test,"t(154) = 3.26, p < .001, d = 0.74","t(154) = 3.26, p < .001, d = 0.74",Fully reproducible,"t(154) = 3.26, p < .001, d = 0.74",recomputed_from_raw_data,independent_t_test,0.00135718173128889,=,two_sided,3.2631700654818907,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.60897435897436,cohens_d,0.7369062993242013,0.12275253350768234,0.03761757157745769,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; 16ItemQuizFollowupPerformance,"16ItemQuizFollowupPerformance ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 0.809783; nonpsychology mean = 0.68703; psychology SD = 0.142868; nonpsychology SD = 0.170209.",study_05_recomputed.csv,3,study_05,0.00135718173128889
study_05_claim_02,study_05,10.1037/stl0000136,"In a retest of items from their first midterm, students showed high performance (70% correct) compared to previous studies, with psychology students (majors and minors) showing better performance than nonpsychology students (81% vs. 69%), d  .74.",supplementary,two_sided,ready,Verified: reported second t=16.06 matches result_02 exactly. Same reasoning as claim_01 -- no applicable pre-specified direction.,second,study_05_result_02,"t(154) = 3.26, p < .001, d = 0.74",Independent samples t-test,"t (154) = 16.06, p <.001, d = 3.63","t(154) = 16.06, p <.001, d = 3.63",Fully reproducible,"t(154) = 16.06, p < .001, d = 3.63",recomputed_from_raw_data,independent_t_test,1.039549491399382e-34,=,two_sided,16.0557429910438,154,NA,NA,NA,NA,NA,NA,NA,23,133,156,19.60897435897436,cohens_d,3.625792684109871,6.609022556390977,0.4116298174477267,data/raw/study_05/HardLovettBrady_Data_Shared.csv,Speciality; NumPsychClass,"NumPsychClass ~ Speciality; Student independent-samples t-test, equal variances",psychology students minus nonpsychology students; Speciality 1 minus Speciality 0,"Recovered group sizes, t, df, exact p, pooled-SD d, mean difference and SE. Psychology n = 23; nonpsychology n = 133; psychology mean = 8; nonpsychology mean = 1.390977; psychology SD = 2.746899; nonpsychology SD = 1.618242.",study_05_recomputed.csv,4,study_05,1.039549491399382e-34
study_06_claim_01,study_06,10.1177/14757257241295302,"Sense of belonging was significantly higher in the social annotation condition, particularly for the introductory-level psychology course, and students reported positive perceptions of social annotation.",primary,two_sided,pending,"Wave 2 (factorial ANOVA simple effect). Phase 1 hypothesis explicitly predicts belonging would be 'strengthened' by social annotation -- legitimate pre-specified direction, updated from two_sided to positive. Still needs raw-data model fit (2x2 between-subjects design). [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",key,study_06_result_01,"(p < .001, ηp² = .288)",2 × 2 between-subjects ANOVA,"(p < .001, ηp² = .288)","F(1, 40) = 16.194, [p < .001, ηp² = .288]",Fully reproducible,"PSYC 111 simple effect: social annotation > individual annotation; p < .001, eta_p2 = .288",recomputed_from_raw_data_simple_effect,factorial_between_anova,2.471727607865699e-4,=,omnibus,NA,NA,16.194490855895964,1,40,NA,NA,NA,NA,14,12,26,NA,eta_p2,0.28818645047296176,8.226190476190482,2.044161064744356,data/raw/study_06/Social_Annotation_and_SOB_SOC_Data.sav,BCBSTotalScore; Condition; Course,BCBSTotalScore ~ Condition * Course; simple effect of Condition within Course == 1 using full-model residual MSE,PSYC 111 social annotation minus PSYC 111 individual annotation,"Recovered simple-effect F, df, exact p, eta_p2, cell sizes, mean difference and SE. Course value for PSYC 111 = 1; individual value = 1; social value = 2; individual n = 14; social n = 12; individual mean = 33.857143; social mean = 42.083333; residual MSE = 27.000149; residual df = 40.",study_06_recomputed.csv,5,study_06,2.471727607865699e-4
study_10_claim_01,study_10,10.1037/stl0000338,"Importantly, however, comparing measures collected before and during the pandemic, we found no significant differences in reports of self-esteem, self-efficacy, optimism, and life satisfaction, and even a significant pandemic-related improvement in somatic symptoms of psychological distress and social dysfunction.",primary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit.",key,study_10_result_01,"F(2, 1,043) = 103.50, p < .001",2 x 3 between-subjects factorial ANOVA,"F(2, 1,043) = 103.50, p < .001","F (2, 1,043) = 103.50, p < .001",Fully reproducible,"GHQ-c social dysfunction: main effect of semester, F(2, 1043) = 103.50, p < .001",recomputed_from_raw_data,factorial_between_anova,9.929653960744504e-42,=,omnibus,NA,NA,103.49934031616624,2,1043,NA,NA,NA,NA,NA,NA,1049,NA,eta_p2_from_F,0.16559911929476498,NA,NA,data/raw/study_10/master.anonymizedOSF.csv,GHQc.total; replicate; university,"GHQc.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-c social dysfunction,"Recovered Table 2 main effect of data collection semester for GHQ-c. Filtered N = 1049. This corrects the earlier script, which targeted the wrong ANOVA row.",study_10_recomputed.csv,6,study_10,9.929653960744504e-42
study_10_claim_02,study_10,10.1037/stl0000338,"Importantly, however, comparing measures collected before and during the pandemic, we found no significant differences in reports of self-esteem, self-efficacy, optimism, and life satisfaction, and even a significant pandemic-related improvement in somatic symptoms of psychological distress and social dysfunction.",supplementary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit.",second,study_10_result_02,"F(2, 1,043) = 103.50, p < .001",2 x 3 between-subjects factorial ANOVA,"F(2, 1,043)= 25.51, p < .001","F(2, 1,043)= 25.51, p < .001",Fully reproducible,"GHQ-b anxiety/insomnia: main effect of semester, F(2, 1043) = 25.51, p < .001",recomputed_from_raw_data,factorial_between_anova,1.532958092634304e-11,=,omnibus,NA,NA,25.50532099652211,2,1043,NA,NA,NA,NA,NA,NA,1049,NA,eta_p2_from_F,0.04662718993310172,NA,NA,data/raw/study_10/master.anonymizedOSF.csv,QHQb.total [raw-file spelling]; replicate; university,"QHQb.total ~ replicate * factor(university), after filtering university codes 1 and 3",omnibus main effect of replicate/semester on GHQ-b anxiety/insomnia,Recovered Table 2 main effect of data collection semester for GHQ-b. The public CSV uses the column name QHQb.total although the article labels the subscale GHQ-b. Filtered N = 1049.,study_10_recomputed.csv,7,study_10,1.532958092634304e-11
study_13_claim_01,study_13,10.1177/00986283221142016,"The bias education intervention increased objective and subjective knowledge of bias and multicultural competence, awareness of one's own bias, and behavioral intentions to reduce bias.",primary,two_sided,pending,"Phase 1 hypothesis explicitly predicts the intervention 'would increase' knowledge/awareness/intentions -- legitimate pre-specified direction, updated from two_sided to positive. Still Wave 2: Welch (heteroscedastic) independent t-test, needs a raw-data heteroscedastic Bayesian model, not meta.ttestBF()'s equal-variance JZS model. [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",key,study_13_result_01,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35",Welch’s independent-samples t-test,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35","tₛₐₜ (455.40) = 14.45, p < .0005, d = 1.35",Fully reproducible,"t_sat(455.40) = 14.45, p < .0005, d = 1.35",recomputed_from_raw_data,welch_independent_t_test,3.2360126016710324e-39,=,two_sided,14.447693281497337,455.39777283104985,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d_article_t_df_transform,1.3540448748312182,1.7861216890919862,0.12362677240521232,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; subj_total,subj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 1.285106. Education n = 195; control n = 303.",study_13_recomputed.csv,8,study_13,3.2360126016710324e-39
study_13_claim_02,study_13,10.1177/00986283221142016,"The bias education intervention increased objective and subjective knowledge of bias and multicultural competence, awareness of one's own bias, and behavioral intentions to reduce bias.",supplementary,two_sided,pending,"Same as claim_01: pre-specified positive direction confirmed; Welch design still needs a heteroscedastic model. [Directionality policy: the published significance test for this result is two-sided, so the Bayes factor is computed two-sided to match. The directional Phase 1 hypothesis is recorded but does not change the sidedness of the comparison; only study_20, whose authors ran a genuinely one-sided test, stays one-sided.]",second,study_13_result_02,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35",Welch’s independent-samples t-test,"tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91","tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91",Fully reproducible,"t_sat(466.17) = 9.79, p < .001, d = 0.91",recomputed_from_raw_data,welch_independent_t_test,1.0387197857941702e-20,=,two_sided,9.790970952113485,466.1677644263239,NA,NA,NA,NA,NA,NA,NA,195,303,498,118.644578313253,cohens_d_article_t_df_transform,0.90695270080391,0.15842599644579847,0.01618082590793516,data/raw/study_13/DATA_Cleaned_and_coded_for_condition.sav,condition; obj_total,obj_total ~ condition; Welch independent-samples t-test,education intervention minus control; condition 1 minus condition 0,"Recovered Welch t, Satterthwaite df, group sizes, exact p, mean difference and Welch SE. effect_size_value stores 2*t/sqrt(df), matching the article convention; pooled-SD d = 0.862712. Education n = 195; control n = 303.",study_13_recomputed.csv,9,study_13,1.0387197857941702e-20
study_14_claim_01,study_14,10.1177/1475725719859453,"Perceived need for reform and number of student researchers supervised/year correlated with teaching these issues, suggesting that those who believe more change is needed in psychology research and are more involved in shaping the next generation of psychology researchers are more likely to discuss replication and reform in their courses. ",primary,two_sided,ready,Verified: reported key r=.46 matches result_01 exactly. No explicit directional hypothesis in Phase 1 (aim/RQ substituted) -- keep two_sided.,key,study_14_result_01,"r(56) = .46, p < .001",Pearson correlation,"r(56) = .46, p < .001","r(56) = .46, p < .001",Fully reproducible,"r(56) = .46, p < .001",recomputed_from_raw_data_pairwise_complete,pearson_correlation,2.801095267522945e-4,=,two_sided,3.876999222244787,56,NA,NA,NA,NA,NA,NA,0.4600143435956783,NA,NA,58,58,correlation_r,0.4600143435956783,NA,NA,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; grad_replication,Pearson correlation: reform with grad_replication; pairwise complete observations,positive association between reform and grad_replication,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 56; recomputed df = 56; pairwise N = 58.",study_14_recomputed.csv,10,study_14,2.801095267522945e-4
